id,pilier,theme,format,methode_outil,statut,date_utilisation
T001,P1 - Accroître le chiffre d'affaires,"Les 3 leviers du chiffre d'affaires : nombre de clients, panier moyen, fréquence d'achat",conseil,Équation du CA,à publier,
T002,P1 - Accroître le chiffre d'affaires,Pourquoi baisser ses prix n'est pas une stratégie,erreur,Politique tarifaire,à publier,
T003,P1 - Accroître le chiffre d'affaires,Vendre plus à ses clients existants : la vente additionnelle,méthode,Up-sell / Cross-sell,à publier,
T004,P1 - Accroître le chiffre d'affaires,Relancer les clients inactifs depuis plus de 3 mois,checklist,Relance client,à publier,
T005,P1 - Accroître le chiffre d'affaires,Mettre en place un programme de fidélité simple,conseil,Programme de fidélisation,à publier,
T006,P1 - Accroître le chiffre d'affaires,Accorder des remises sans détruire sa marge,erreur,Politique de remise,à publier,
T007,P1 - Accroître le chiffre d'affaires,Identifier les 20 % de clients qui font 80 % du chiffre d'affaires,méthode,Loi de Pareto,à publier,
T008,P1 - Accroître le chiffre d'affaires,Quel est le vrai coût pour gagner un nouveau client ?,question,Coût d'acquisition client,à publier,
T009,P1 - Accroître le chiffre d'affaires,Transformer ses clients satisfaits en prescripteurs : le parrainage,conseil,Parrainage,à publier,
T010,P1 - Accroître le chiffre d'affaires,Réduire les impayés et encadrer la vente à crédit,checklist,Gestion du crédit client,à publier,
T011,P1 - Accroître le chiffre d'affaires,Mesurer la satisfaction client avec le NPS,méthode,NPS,à publier,
T012,P1 - Accroître le chiffre d'affaires,Vendre en période creuse : 5 idées pour lisser son activité,checklist,Saisonnalité,à publier,
T013,P1 - Accroître le chiffre d'affaires,Créer une offre packagée pour augmenter le panier moyen,conseil,Offre packagée,à publier,
T014,P1 - Accroître le chiffre d'affaires,Répondre à un appel d'offres : les erreurs qui éliminent les PME,erreur,Appels d'offres,à publier,
T015,P1 - Accroître le chiffre d'affaires,Fixer un objectif de chiffre d'affaires réaliste et le découper par mois,méthode,Objectifs SMART,à publier,
T016,P1 - Accroître le chiffre d'affaires,Faut-il vendre aux entreprises ou aux particuliers ?,question,B2B / B2C,à publier,
T017,P1 - Accroître le chiffre d'affaires,Conquérir un nouveau segment de clientèle,méthode,Segmentation,à publier,
T018,P1 - Accroître le chiffre d'affaires,Suivre chaque semaine les 3 chiffres qui font le chiffre d'affaires,checklist,Tableau de suivi,à publier,
T019,P1 - Accroître le chiffre d'affaires,Nouer des partenariats pour vendre plus,conseil,Partenariats stratégiques,à publier,
T020,P1 - Accroître le chiffre d'affaires,Dépendre d'un seul gros client : le risque qui peut couler une PME,erreur,Risque commercial,à publier,
T021,P2 - Structurer la force de vente,Fixer des objectifs individuels clairs à chaque commercial,méthode,Objectifs SMART,à publier,
T022,P2 - Structurer la force de vente,Le commercial star qui garde tout pour lui : un danger pour l'entreprise,erreur,Fichier clients partagé,à publier,
T023,P2 - Structurer la force de vente,Le pipeline de ventes : voir toutes ses affaires en cours d'un coup d'œil,conseil,Pipeline commercial,à publier,
T024,P2 - Structurer la force de vente,La réunion commerciale hebdomadaire de 30 minutes,checklist,Rituels d'équipe,à publier,
